"",gene_symbol,GSM2668081,GSM2668082,GSM2668083,GSM2668084,GSM2668085,GSM2668086,GSM2668087,GSM2668088,GSM2668089
ENSG00000226777,FAM30A,1.0045,0,1.4928,1.0073,0,0,0,3.0173,2.0014
ENSG00000226784,PGAM4,14.3997,3.8994,6.4072,3.8959,7.794,3.9003,3.6547,1.1768,2.423
ENSG00000226788,RING1,473.1383,107.2792,529.1643,222.457,76.8069,245.079,461.1449,596.4714,317.7064
ENSG00000226799,LOC101929006,0,0,0,0,0,0,0,0,0
ENSG00000226800,CACTIN-AS1,28.5087,42.2971,30.4838,19.0507,32.1259,14.9523,19.2824,8.508,16.4578
ENSG00000226806,LOC100507600,0,0.9991,2.9961,4.0077,2.9981,2.9984,2.0043,13.0146,6.0021
ENSG00000226807,MROH5,0,0,0,0,0,0,0,0,0
ENSG00000226808,LINC00840,3.0012,7.9908,16.9689,4.0093,12.9902,2.998,2.0049,5.0064,7.0026
ENSG00000226826,HLA-DPB1,8.2907,7.1301,8.6589,19.68,22.5747,30.1465,67.2721,73.8072,69.9441
ENSG00000226828,LOC339529,0,0,0,0,0,0,0,0,0
ENSG00000226832,OR2B3,0,0,0,0,0,0,0,0,0
ENSG00000226835,LOC107985092,33.3729,34.3816,28.5611,1.0923,4.3265,5.2417,39.4313,33.9588,29.6252
ENSG00000226841,MCCD1,0,0,0,0,0,0,0,0,0
ENSG00000226846,LINC00348,0,0,0,0,0,0,0,1.1019,0
ENSG00000226850,ATP6V1G2,1.0108,0.5123,1.6699,0.1626,0,0.863,0.3066,0,0.1661
ENSG00000226858,ZFP57,518.0266,378.8294,293.1716,258.8693,327.6103,308.3047,171.6329,64.4,146.8733
ENSG00000226864,ATE1-AS1,4.1292,6.6993,9.551,7.131,4.4292,8.3769,2.9882,10.1784,4.8572
ENSG00000226869,LHFPL3-AS1,0.9958,1.0075,2.0289,0,3.0109,1.0042,0,0,1.1254
ENSG00000226882,GNL1,260.1327,198.1048,129.4708,395.6753,206.1596,610.0479,146.1012,128.5082,322.3678
ENSG00000226887,ERVMER34-1,109.6988,88.6404,84.1142,97.5042,121.2933,156.2038,307.1537,266.5444,404.8509
ENSG00000226891,LINC01359,31.5319,23.6267,34.1415,25.9765,17.9484,22.0043,63.0875,130.2063,76.8536
ENSG00000226892,C6orf10,0,0,0,0,0,0,0,0,0
ENSG00000226898,UBD,0,0,2.5193,0,0,0,0,0,0
ENSG00000226906,TTTY4,0,0.3337,0,0,0,0,0,0,0
ENSG00000226913,BSN-AS2,11.7438,11.2269,18.5339,15.3728,6.4671,4.246,30.0635,59.0387,24.6995
ENSG00000226916,WDR46,688.2796,450.3694,537.7076,235.3067,464.6882,768.3282,1075.4351,1297.518,858.5405
ENSG00000226917,LINC01276,0,0,0,0,0,0,0,0,0
ENSG00000226923,MCCD1,0.399,0,0.1441,0,0.5009,0.2005,0,0,0
ENSG00000226929,CT47A11,0,0,0,0,0,0,0,0,0
ENSG00000226935,LINC00161,0,0,0,0,1.0024,0,0,0,0.9999
ENSG00000226936,B3GALT4,23.7409,11.4983,13.4882,65.9111,27.2357,17.9966,18.0285,24.995,25.7541
ENSG00000226941,RBMY1J,0,0,0,0,0,0,0,0,0
ENSG00000226944,LOC102724450,7.9449,13.375,13.2473,3.8884,4.071,2.0244,22.5128,5.9526,13.8941
ENSG00000226950,DANCR,546.2723,485.7064,459.7424,629.4749,852.5148,1191.6951,1829.1051,1711.2599,1875.6804
ENSG00000226953,LOC101928161,0.993,2.0286,1.0217,0,0,1.0073,0.9826,0.9926,0
ENSG00000226965,LOC105375451,9.9317,19.3494,17.3761,2.9363,1.0103,6.0534,6.8866,8.9366,0
ENSG00000226969,LOC105378591,5.9579,1.0231,0,0.9709,3.0482,4.0422,4.901,0,2.9845
ENSG00000226978,MAGI2-AS2,0,0,0,0,0,0,0,0.9927,0
ENSG00000226979,LTA,0.2856,0,0,0,0.429,0.4288,0.2857,0,0.1429
ENSG00000226983,LINC01692,0,0,0,3.3066,0,0,0,5.4313,2.0009
ENSG00000226985,LINC01203,0,0,0,0,0,0,0,0,0
ENSG00000226995,LINC00658,0.9949,2.0222,0,0,1.081,2.0115,1.9788,0.9957,2.0001
