Gene	Group
PSG5	example2
NETO1	example2
LCE1C	example2
EPHA3	example2
PCDH18	example2
SEMA6D	example2
BAALC-AS1	example2
KCNH4	example2
SAMD11	example2
GPR132	example2
SPRR1B	example2
CXCL14	example2
IVL	example2
LINC01279	example2
KRT15	example2
ANKRD20A19P	example2
STON1-GTF2A1L	example2
RPL36A-HNRNPH2	example2
MMP10	example2
NLGN4X	example2
TMPRSS11E	example2
DIO2	example2
KIT	example2
LCE1E	example2
HS3ST3B1	example2
LINC00987	example2
KRT13	example2
FXYD7	example2
MAF	example2
STRA6	example2
PTPRN2	example2
SPINK6	example2
GPC4	example2
DSG4	example2
IQGAP2	example2
KCNJ8	example2
ZNF704	example2
APCDD1	example2
CYP3A7	example2
MMP13	example2
SULT1E1	example2
MPPED1	example2
USH1G	example2
PSG4	example2
NPY4R	example2
MPPED2	example2
MARCH3	example2
H3F3A	example2
PSAPL1	example2
ADGRL3	example2
PREX2	example2
METTL7A	example2
LINC00885	example2
B4GALNT2	example2
GABRQ	example2
ZMYND10	example2
COL5A1	example2
CNTN4	example2
CAPNS2	example2
CCDC80	example2
MAFA	example2
PRODH	example2
UNC5B-AS1	example2
ACHE	example2
HSD11B1L	example2
HSPB3	example2
KLK13	example2
FOLR1	example2
LOC101928034	example2
ATP6V1B1	example2
CYP2B6	example2
TRIM6-TRIM34	example2
SOSTDC1	example2
PINLYP	example2
TP53INP1	example2
PELI2	example2
CYP24A1	example2
CXCL8	example2
HOXC4	example2
KRT1	example2
SLC52A1	example2
CDH19	example2
CCDC74B	example2
PAPLN	example2
FAM196B	example2
TTC28	example2
RGS2	example2
DOCK8	example2
KLK11	example2
SYT5	example2
MAP2K6	example2
PHYHIP	example2
ROS1	example2
GRIK2	example2
LRRC48	example2
CA2	example2
EGR3	example2
AQP10	example2
DLK2	example2
BST2	example2
EXOC3L4	example2
CYP26A1	example2
PROC	example2
IGFBP3	example2
LUZP2	example2
ARID5B	example2
SLC22A3	example2
TMC4	example2
TNNI2	example2
C10orf67	example2
CPQ	example2
RARA-AS1	example2
KCNH3	example2
MYO3B	example2
MTUS2	example2
KRT4	example2
RBP3	example2
CYP2B7P	example2
SEMA5A	example2
DDIT4	example2
CCDC3	example2
SEMA3D	example2
HOGA1	example2
KRT16P2	example2
FBXO15	example2
SYNPO2	example2
SYT8	example2
FTX	example2
PALMD	example2
EPHA4	example2
S100A2	example2
HAS2	example2
MT1F	example2
LGALS7B	example2
COX6B2	example2
AASS	example2
S100A3	example2
FAT3	example2
TIMP3	example2
MYL9	example2
HCAR2	example2
FREM2	example2
RNF152	example2
HOXA13	example2
SERPINF1	example2
TP73	example2
HSPA2	example2
IGFBP2	example2
TCONS_00029157	example2
GDF6	example2
FOXN1	example2
MUC3A	example2
SELENBP1	example2
EFNB3	example2
SDC2	example2
C6orf165	example2
HNRNPA1P10	example2
CH17-360D5.1	example2
ST6GALNAC1	example2
EFCAB1	example2
BTG2	example2
NTRK2	example2
KCTD12	example2
GPER1	example2
SERPINI1	example2
BDH2	example2
VTCN1	example2
XKRX	example2
RIBC1	example2
MATN2	example2
SPATA18	example2
SCGB1A1	example2
HCFC1R1	example2
ACKR3	example2
MIR210HG	example2
MXRA5	example2
SEMA3B	example2
ALDH3B1	example2
C1QL4	example2
PTPRZ1	example2
HOXC13	example2
STON1	example2
LOC100130417	example2
CNFN	example2
PALM	example2
TMC7	example2
ATP9A	example2
CDKN2B	example2
EGR2	example2
PBX1	example2
ID2	example2
FAM189A2	example2
GSTA4	example2
ROR2	example2
PCDHGB2	example2
PCSK4	example2
MSLN	example2
TCF7L1	example2
SLC7A8	example2
RIPK4	example2
C9orf116	example2
GABRA3	example2
SLC39A2	example2
CTSH	example2
NANOS1	example2
TGM1	example2
CDH8	example2
PCDHGB1	example2
EFR3B	example2
PLCH2	example2
DLX3	example2
SPOCK2	example2
GPNMB	example2
CCDC89	example2
