	Pro_1	Pro_2	Pro_3	Sen_1	Sen_2	Sen_3
NM_001199954	413.41	597.19	467.78	918.67	600.07	593.18
NM_001614	44768.25	52940.25	34939.62	53575.55	43149.88	43185.33
NR_037688	0	0	60.73	0	0	0
NR_036446	1	0	0	1	0	0
NR_033926	265.61	269.07	180.01	349.3	261.29	253.77
NR_024438	0	1	0	0	0	0
NM_001199893	588.47	765.23	400.01	71.15	55.93	59.27
NM_001615	15435.53	17745.15	11048.99	2054.85	1857.07	1471.73
NM_001024675	17	18	10	26	17	9
NM_004301	419.24	365.56	297.05	477	343.21	370.81
NM_177989	105.76	190.44	97.95	62	158.79	105.19
NM_178042	0	0	0	0	0	0
NM_016188	0	0	0	0	0	0
NM_006687	0	0	0	0	0	0
NM_006686	0	0	0	0	0	0
NM_030812	0	0	0	0	0	0
NM_178525	0	0	0	0	0	0
NM_001102	15880.18	19231	11943.52	12997.29	12663.26	11606.66
NM_001130004	0	0	0	0	0	0
NM_001130005	2627.73	3456.61	2170.08	1144.4	985.71	789.34
NR_073422	0	1	0	0	1	0
NM_001103	0	0	0	0	0	0
NM_001278343	0	0	0	0	0	0
NM_001278344	0	0	0	0	0	0
NM_001104	2	1	1	0	0.5	0.5
NM_001258371	0	0	0	0	0	0
NR_047663	2	1	1	0	0.5	0.5
NM_004924	12271.47	15886.48	10189.9	6946.91	6205.87	5977.58
NM_018477	1311	1385	943	1003	1117	842
NM_005736	2894	2973	2031	3757	3406	2949
NM_005735	841	954	652	759	610	674
NM_001005386	0	0	0	0	0	0
NM_005722	10213	11474	7558	12901	11992	10645
NM_001277140	28.6	14.28	0	0	0	14.23
NM_005721	8739.4	9763.72	6505.65	13150	12150	10475.77
NR_102318	0	0	11.35	0	0	0
NM_001040135	12.7	0	0	0	0	0
NM_020445	0	36.68	0	0.2	0	0
NR_073000	9.58	0	23.03	50.17	65	46.71
NR_073001	13.56	0	17.97	20.63	0	0
NR_027714	0	0	0	0	0	0
NR_045000	0	0	0	0	0	0
NM_001164458	1.15	5.83	0	0	0	0
NM_001164459	0	0	0	0	0	1.29
NM_024855	67	85	46	73	66	75
NM_022496	0	0	0	5.46	0	0
NR_048568	92.69	117.77	95.73	134.53	107.03	58.61
NR_048569	163.31	168.23	103.27	216.01	223.97	248.39
NM_022899	461	448	318	458	426	388
NM_138289	0	0	0	0	0	0
NM_080431	0	0	0	0	0	0
NM_032487	35	59	30	69	60	49
